id,thread_id,trace_id,thinking_profile,snapshot,domain,tool_used,token_usage,created_at
1,933,e56c1fc8-2073-4ee1-bc1d-ddbc7c0286b0,NORMAL,"{""domain"": ""etc"", ""intent"": ""ask"", ""depthHint"": ""shallow"", ""userStage"": ""confused"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.33, ""nextAnchors"": [""REFINE_INPUT""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""NORMAL"", ""path"": ""NORMAL"", ""stage"": ""confused"", ""intent"": ""ask"", ""rationale"": ""base_reasoning"", ""confidence"": 0.33}}",,,,2026-02-25 08:50:02.843429
2,933,92258426-7c1b-45f9-bbbc-da26e7362bf6,DEEP,"{""domain"": ""etc"", ""intent"": ""execute"", ""depthHint"": ""shallow"", ""userStage"": ""confused"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.29, ""nextAnchors"": [""REFINE_INPUT""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""NORMAL"", ""path"": ""NORMAL"", ""stage"": ""confused"", ""intent"": ""execute"", ""rationale"": ""base_reasoning"", ""confidence"": 0.29}}",,,,2026-02-25 08:59:32.422205
3,933,d7deb4fe-cc4d-4753-a0f4-3e99ddfc2135,NORMAL,"{""domain"": ""etc"", ""intent"": ""ask"", ""depthHint"": ""shallow"", ""userStage"": ""ready"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.7, ""nextAnchors"": [], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""FAST"", ""path"": ""FAST"", ""stage"": ""ready"", ""intent"": ""ask"", ""rationale"": ""direct_chat"", ""confidence"": 0.7}}",,,,2026-02-25 09:00:28.024047
4,933,d01a305f-313d-423b-81a7-06398977e1d5,NORMAL,"{""domain"": ""etc"", ""intent"": ""design"", ""depthHint"": ""deep"", ""userStage"": ""ready"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.67, ""nextAnchors"": [""EXPAND_SCOPE""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""DEEP"", ""path"": ""DEEP"", ""stage"": ""ready"", ""intent"": ""design"", ""rationale"": ""base_reasoning"", ""confidence"": 0.67}}",,,,2026-02-25 09:02:52.675653
5,933,e20f47bf-f23f-400d-9e03-6e1812ac084f,DEEP,"{""domain"": ""etc"", ""intent"": ""design"", ""depthHint"": ""shallow"", ""userStage"": ""confused"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.24, ""nextAnchors"": [""REFINE_INPUT""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""DEEP"", ""path"": ""DEEP"", ""stage"": ""confused"", ""intent"": ""design"", ""rationale"": ""base_reasoning"", ""confidence"": 0.24}}",,,,2026-02-25 09:37:04.509722
6,933,8db4d76c-6931-4c5a-bfdd-51315ec1e3de,NORMAL,"{""domain"": ""etc"", ""intent"": ""design"", ""depthHint"": ""shallow"", ""userStage"": ""looping"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.51, ""nextAnchors"": [""VERIFY_LOGIC""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""DEEP"", ""path"": ""DEEP"", ""stage"": ""looping"", ""intent"": ""design"", ""rationale"": ""base_reasoning"", ""confidence"": 0.51}}",,,,2026-02-25 10:16:17.142166
7,933,243b1116-4ff4-4dca-a9ff-ecb4c2786330,NORMAL,"{""domain"": ""etc"", ""intent"": ""execute"", ""depthHint"": ""shallow"", ""userStage"": ""looping"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.51, ""nextAnchors"": [""REFINE_INPUT""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""NORMAL"", ""path"": ""NORMAL"", ""stage"": ""looping"", ""intent"": ""execute"", ""rationale"": ""base_reasoning"", ""confidence"": 0.51}}",,,,2026-02-25 10:17:00.198819
8,933,129db4cf-0d33-4382-9358-5569b8d01e5e,NORMAL,"{""domain"": ""etc"", ""intent"": ""ask"", ""depthHint"": ""shallow"", ""userStage"": ""ready"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": true, ""isMultimodal"": true}}, ""confidence"": 0.78, ""nextAnchors"": [""VISION_PRIMARY""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""NORMAL"", ""path"": ""NORMAL"", ""stage"": ""ready"", ""intent"": ""ask"", ""rationale"": ""image_input"", ""confidence"": 0.78}}",,,,2026-02-25 10:41:17.698098
9,933,23f4cc15-4fd5-47a6-a3c0-3c8e34006fe3,NORMAL,"{""domain"": ""etc"", ""intent"": ""design"", ""depthHint"": ""shallow"", ""userStage"": ""confused"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.42, ""nextAnchors"": [""REFINE_INPUT""], ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""DEEP"", ""path"": ""DEEP"", ""stage"": ""confused"", ""intent"": ""design"", ""rationale"": ""base_reasoning"", ""confidence"": 0.42}}",,,,2026-02-25 10:43:18.80112
10,933,9c7dd447-e5c2-4a7d-a9d2-1f0a06453971,NORMAL,"{""domain"": ""etc"", ""intent"": ""design"", ""depthHint"": ""shallow"", ""userStage"": ""confused"", ""__internal"": {""turnIntent"": ""QUESTION"", ""inputSignals"": {""hasText"": true, ""hasImage"": false, ""isMultimodal"": false}}, ""confidence"": 0.31, ""nextAnchors"": [""REFINE_INPUT""], ""mathFeatures"": {""tokenCount"": 16, ""hasIntegral"": false, ""isProofLike"": false, ""hasSummation"": false, ""hasDerivative"": false, ""operatorCount"": 5, ""operatorKinds"": 1, ""maxNestingDepth"": 0, ""symbolicDensity"": 0.3125}, ""cognitiveLoad"": ""low"", ""decisionProposal"": {""mode"": ""DEEP"", ""path"": ""DEEP"", ""stage"": ""confused"", ""intent"": ""design"", ""rationale"": ""base_reasoning"", ""confidence"": 0.31}}",,,,2026-02-25 11:02:11.051236
